Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
130,Bournemouth,2018-04-07,Crystal Palace,eng Premier League,D 2-2,2,2,0,53,2,0,0,0,641,50,184,255,176,30,641,Match Report
131,Crystal Palace,2018-04-07,Bournemouth,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,610,69,205,245,171,32,610,Match Report
132,Tottenham,2018-04-07,Stoke City,eng Premier League,W 2-1,2,1,+1,65,2,0,0,0,698,53,194,255,169,19,698,Match Report
133,Stoke City,2018-04-01,Arsenal,eng Premier League,L 0-3,0,3,-3,31,0,0,0,0,414,57,133,162,126,16,414,Match Report
134,Chelsea,2018-04-01,Tottenham,eng Premier League,L 1-3,1,3,-2,49,1,0,0,0,655,53,212,255,167,31,655,Match Report
135,Arsenal,2018-04-01,Stoke City,eng Premier League,W 3-0,3,0,+3,69,1,2,2,0,789,63,225,255,180,36,787,Match Report
136,Tottenham,2018-04-01,Chelsea,eng Premier League,W 3-1,3,1,+2,51,3,0,0,0,712,75,233,255,175,12,712,Match Report
137,Manchester City,2018-03-31,Everton,eng Premier League,W 3-1,3,1,+2,81,3,0,0,0,1089,54,255,255,255,35,1089,Match Report
138,Swansea City,2018-03-31,Manchester Utd,eng Premier League,L 0-2,0,2,-2,34,0,0,0,0,498,65,189,227,86,12,498,Match Report
139,Huddersfield,2018-03-31,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,37,0,0,0,0,510,55,192,206,117,10,510,Match Report
140,Everton,2018-03-31,Manchester City,eng Premier League,L 1-3,1,3,-2,19,1,0,0,0,318,56,129,106,85,9,318,Match Report
141,Brighton,2018-03-31,Leicester City,eng Premier League,L 0-2,0,2,-2,48,0,0,1,1,532,46,165,235,135,20,531,Match Report
142,Newcastle Utd,2018-03-31,Huddersfield,eng Premier League,W 1-0,1,0,+1,63,1,0,0,0,768,44,170,255,162,22,768,Match Report
143,Manchester Utd,2018-03-31,Swansea City,eng Premier League,W 2-0,2,0,+2,66,2,0,0,0,871,50,179,255,223,28,871,Match Report
144,Leicester City,2018-03-31,Brighton,eng Premier League,W 2-0,2,0,+2,52,2,0,0,0,588,58,159,255,136,19,588,Match Report
145,Burnley,2018-03-31,West Brom,eng Premier League,W 2-1,2,1,+1,53,2,0,0,0,613,49,162,255,169,17,613,Match Report
146,Liverpool,2018-03-31,Crystal Palace,eng Premier League,W 2-1,2,1,+1,67,2,0,0,0,836,52,192,255,211,38,836,Match Report
147,West Ham,2018-03-31,Southampton,eng Premier League,W 3-0,3,0,+3,49,3,0,0,0,539,46,168,251,127,16,539,Match Report
148,West Brom,2018-03-31,Burnley,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,558,56,229,198,136,25,558,Match Report
149,Bournemouth,2018-03-31,Watford,eng Premier League,D 2-2,2,2,0,50,1,1,1,0,600,86,255,234,111,23,599,Match Report
150,Watford,2018-03-31,Bournemouth,eng Premier League,D 2-2,2,2,0,50,2,0,0,0,575,51,135,246,204,25,575,Match Report
151,Crystal Palace,2018-03-31,Liverpool,eng Premier League,L 1-2,1,2,-1,33,0,1,1,0,475,69,167,227,90,11,474,Match Report
152,Southampton,2018-03-31,West Ham,eng Premier League,L 0-3,0,3,-3,51,0,0,0,0,564,45,138,255,145,12,564,Match Report
153,Huddersfield,2018-03-17,Crystal Palace,eng Premier League,L 0-2,0,2,-2,55,0,0,0,0,665,46,167,255,190,8,665,Match Report
154,Everton,2018-03-17,Stoke City,eng Premier League,W 2-1,2,1,+1,57,2,0,0,0,584,50,151,255,154,21,584,Match Report
155,Liverpool,2018-03-17,Watford,eng Premier League,W 5-0,5,0,+5,58,5,0,0,0,721,54,162,255,138,34,721,Match Report
156,Stoke City,2018-03-17,Everton,eng Premier League,L 1-2,1,2,-1,43,1,0,0,0,470,62,164,221,97,18,470,Match Report
157,Watford,2018-03-17,Liverpool,eng Premier League,L 0-5,0,5,-5,42,0,0,0,0,563,67,197,255,89,7,563,Match Report
158,West Brom,2018-03-17,Bournemouth,eng Premier League,L 1-2,1,2,-1,40,1,0,0,0,522,62,193,210,123,23,522,Match Report
159,Bournemouth,2018-03-17,West Brom,eng Premier League,W 2-1,2,1,+1,60,2,0,0,0,720,60,234,255,189,27,720,Match Report
160,Crystal Palace,2018-03-17,Huddersfield,eng Premier League,W 2-0,2,0,+2,45,1,1,1,0,606,71,228,255,125,21,605,Match Report
161,Stoke City,2018-03-12,Manchester City,eng Premier League,L 0-2,0,2,-2,24,0,0,0,0,372,55,145,170,61,5,372,Match Report
162,Manchester City,2018-03-12,Stoke City,eng Premier League,W 2-0,2,0,+2,76,2,0,0,0,977,44,184,255,239,29,977,Match Report
163,Arsenal,2018-03-11,Watford,eng Premier League,W 3-0,3,0,+3,59,3,0,0,0,666,74,202,255,158,22,666,Match Report
164,Watford,2018-03-11,Arsenal,eng Premier League,L 0-3,0,3,-3,41,0,0,1,1,490,40,124,226,145,18,489,Match Report
165,Bournemouth,2018-03-11,Tottenham,eng Premier League,L 1-4,1,4,-3,37,1,0,0,0,496,55,176,214,111,18,496,Match Report
166,Tottenham,2018-03-11,Bournemouth,eng Premier League,W 4-1,4,1,+3,63,4,0,0,0,729,56,231,255,178,31,729,Match Report
167,Liverpool,2018-03-10,Manchester Utd,eng Premier League,L 1-2,1,2,-1,67,0,0,0,0,720,38,157,255,255,24,720,Match Report
168,Swansea City,2018-03-10,Huddersfield,eng Premier League,D 0-0,0,0,0,20,0,0,0,0,341,131,226,95,22,1,341,Match Report
169,Huddersfield,2018-03-10,Swansea City,eng Premier League,D 0-0,0,0,0,80,0,0,0,0,883,15,108,255,255,48,883,Match Report
170,Everton,2018-03-10,Brighton,eng Premier League,W 2-0,2,0,+2,59,1,0,1,1,573,47,144,255,176,25,572,Match Report
171,Brighton,2018-03-10,Everton,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,437,78,189,165,87,10,437,Match Report
172,Chelsea,2018-03-10,Crystal Palace,eng Premier League,W 2-1,2,1,+1,62,1,0,0,0,782,65,212,255,255,42,782,Match Report
173,Newcastle Utd,2018-03-10,Southampton,eng Premier League,W 3-0,3,0,+3,37,3,0,0,0,461,60,180,204,82,13,461,Match Report
174,Leicester City,2018-03-10,West Brom,eng Premier League,W 4-1,4,1,+3,56,4,0,0,0,636,44,154,255,181,21,636,Match Report
175,Burnley,2018-03-10,West Ham,eng Premier League,W 3-0,3,0,+3,48,3,0,0,0,526,56,196,220,113,16,526,Match Report
176,West Ham,2018-03-10,Burnley,eng Premier League,L 0-3,0,3,-3,52,0,0,0,0,541,38,120,255,170,23,541,Match Report
177,West Brom,2018-03-10,Leicester City,eng Premier League,L 1-4,1,4,-3,44,1,0,0,0,516,45,172,212,141,11,516,Match Report
178,Crystal Palace,2018-03-10,Chelsea,eng Premier League,L 1-2,1,2,-1,38,1,0,0,0,540,85,186,212,146,22,540,Match Report
179,Southampton,2018-03-10,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,63,0,0,0,0,654,40,137,255,157,11,654,Match Report
180,Manchester Utd,2018-03-10,Liverpool,eng Premier League,W 2-1,2,1,+1,33,2,0,0,0,445,82,194,181,77,11,445,Match Report
181,Manchester Utd,2018-03-05,Crystal Palace,eng Premier League,W 3-2,3,2,+1,69,3,0,0,0,810,51,214,255,237,29,810,Match Report
182,Crystal Palace,2018-03-05,Manchester Utd,eng Premier League,L 2-3,2,3,-1,31,2,0,0,0,456,67,165,176,121,17,456,Match Report
183,Chelsea,2018-03-04,Manchester City,eng Premier League,L 0-1,0,1,-1,29,0,0,0,0,498,95,255,166,61,8,498,Match Report
184,Brighton,2018-03-04,Arsenal,eng Premier League,W 2-1,2,1,+1,33,2,0,0,0,452,64,158,182,123,20,452,Match Report
185,Arsenal,2018-03-04,Brighton,eng Premier League,L 1-2,1,2,-1,67,1,0,0,0,755,52,186,255,255,32,755,Match Report
186,Manchester City,2018-03-04,Chelsea,eng Premier League,W 1-0,1,0,+1,71,1,0,0,0,1091,30,101,255,255,28,1091,Match Report
187,Southampton,2018-03-03,Stoke City,eng Premier League,D 0-0,0,0,0,65,0,0,0,0,588,37,110,255,213,31,588,Match Report
188,Watford,2018-03-03,West Brom,eng Premier League,W 1-0,1,0,+1,53,1,0,0,0,579,65,163,255,140,20,579,Match Report
189,Liverpool,2018-03-03,Newcastle Utd,eng Premier League,W 2-0,2,0,+2,70,2,0,0,0,911,52,201,255,198,25,911,Match Report
190,Tottenham,2018-03-03,Huddersfield,eng Premier League,W 2-0,2,0,+2,74,2,0,0,0,979,54,239,255,187,23,979,Match Report
